,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,70089.8671875,71715.41663113915,69038.04107690995,71046.07274258185,98051816,39.89346491288912,2056.477331318975,27.47244846566998
2024-03-11,69133.6484375,71237.30025717497,68942.4073629841,69707.37166104771,83121386,30.64263611671305,2080.318887606164,27.03281593768155
2024-03-18,75444.6171875,76400.82272853295,68559.93729206274,69420.52227899239,148297271,48.391439461659516,2656.375542492569,46.852898327594765
2024-03-25,78791.328125,78886.94866884101,74392.7831083131,76113.95289745145,118891263,60.5551499986311,2840.154544296103,70.35378853122401
2024-04-01,81166.546875,82127.09772559171,78765.16974852071,79917.83076923077,131820490,63.8602240024047,2892.3318875735927,93.70817614579391
2024-04-08,80398.1015625,82607.36839157705,79245.44060819893,81838.92775537634,85278967,64.610613912568,2939.291477154046,92.08896968912047
2024-04-15,74538.75,79917.8350515464,73290.03382731958,79629.66978092784,133913001,60.13681138770883,3356.169102956683,73.2514815719282
2024-04-22,73674.2421875,75691.39875325946,72137.36099454042,74346.62770941982,99658089,57.79174453752742,3375.9559685329195,54.41393924949174
2024-04-29,74538.75,75883.5212628866,73193.9787371134,74346.63981958762,65724010,64.17757566689801,3307.314624256948,40.51020714599327
2024-05-06,76075.6328125,78284.89992700442,75787.46753669507,76459.8531802399,75064503,70.28339137337933,3351.198154531695,44.1570965110605
2024-05-13,74346.6328125,77132.23016593992,74154.5226501938,76267.73443556202,67324315,62.96968658060936,3313.849090653138,45.7526210361182
2024-05-20,72905.8046875,75979.56720396904,72713.69453022069,75019.01641757246,99288237,61.733883997412455,3309.0514489626594,41.877783705999626
2024-05-27,70600.484375,75115.07317176872,70600.484375,72329.47582908164,147359198,47.965888867881404,3429.605183743265,24.04369132000905
2024-06-03,74250.578125,75499.2941866106,71272.87059346701,71464.98075679172,74171638,45.348092575846735,3576.5256465299985,20.445701825199492
2024-06-10,76459.8515625,77324.34737162375,72137.37251688128,73097.92341590766,107507071,43.410688030359246,3737.5705673512457,26.400024420354637
2024-06-17,76844.0625,79245.439453125,74922.9609375,76075.621875,96695948,43.8492930835882,3796.0613621786215,48.73676777779963
2024-06-24,78284.90625,78669.126648773,76363.80425613497,76555.91445552147,73521576,55.16577946191178,3646.9874652245626,68.23312821423879
2024-07-01,84037.1328125,84037.1328125,78151.63901047646,78634.05653523249,126877856,67.49025036307971,3870.838098904461,85.2997732616122
2024-07-08,81432.078125,85677.3523400474,81142.62761033769,84809.00079606043,114207851,69.45358663213815,3937.2267619849854,86.91051858928584
2024-07-15,81432.078125,84905.48430094786,80853.17709567536,81721.52863966233,102837170,59.664055650965764,3948.7348063137374,81.22831070357059
2024-07-22,78055.15625,81914.49648485785,77283.28820302842,81432.07895550062,86525177,58.33484203001864,4016.982153865307,64.37645502700725
2024-07-29,76800.8671875,83072.29478446922,76704.38368600816,78730.53721733668,93411708,58.31125115158925,4252.075048324882,54.13734579858195
2024-08-05,72073.1796875,74195.81684027778,67731.421875,74002.84982638889,179417395,56.767263452911735,4733.812074742394,38.25437406333909
2024-08-12,77379.765625,77379.765625,72169.65671758105,72555.59071072319,55863166,56.10464557377975,4791.089461018155,39.69403228524218
2024-08-19,74967.6875,77283.29174710425,74774.72047940799,77283.29174710425,50205406,53.64029573463558,4572.485029475541,39.42651924873588
2024-08-26,71687.25,75450.1069986541,70915.38189771198,75353.6234858681,69823596,45.315133377981255,4568.709036622198,38.709681359403696
2024-09-02,66477.1328125,72073.17592298621,65608.78129535558,71880.20891917634,101031606,37.02725791716008,4758.2775957230415,22.230852982695797
2024-09-09,62135.37890625,65801.75219574923,61942.4118910132,64547.466596710015,150653622,23.475412095673434,4735.921928299417,9.060989300225291
2024-09-16,60784.609375,62424.828993055555,60012.741319444445,61749.444444444445,82148769,11.46274133316517,4503.538502830587,2.746902046109105
2024-09-23,61942.4140625,63100.21619450935,60012.74384248443,60109.22735348521,150151359,24.417533686456792,4361.93188775002,4.093999155385775
2024-09-30,58797.0703125,62386.990447091586,58117.896232982675,62289.96557858911,85415277,25.03194655845965,4352.648120385909,4.730216679347829
2024-10-07,57535.74609375,60058.392634116775,57147.64662600126,58408.96989618465,137364502,24.803971668364326,4208.45790915887,4.3360363416646654
2024-10-14,57438.7265625,59573.27383340372,57341.70168654983,57729.80119035051,104697889,27.448018295008566,4010.7693329283725,2.026199122767523
2024-10-21,54236.90234375,58214.9220147585,54139.877473725406,57244.673314512525,130727449,19.785568558066927,4017.1968537388448,1.2587232521260787
2024-10-28,56565.49609375,59379.21716873928,54042.84961272513,54042.84961272513,130875210,23.951636901625747,4149.113923966375,4.54733556140367
2024-11-04,55304.171875,57632.76858552631,54624.99783442982,56856.56968201754,86084137,24.04380968425434,4034.979606679387,6.399621441466725
2024-11-11,51908.30078125,55110.121203271025,48415.40577540888,55013.09634199766,215587402,22.64203892574173,4320.358255970561,12.956501557567327
2024-11-18,54333.92578125,55789.29879324777,53072.60250418527,55304.17445591518,134877926,33.605975553520054,4276.422231573282,22.463040062903108
2024-11-25,52587.4765625,57147.645194303506,52199.377104474166,55692.27222670664,125769782,32.79296556089338,4343.606817398888,29.601450434858364
2024-12-02,52490.453125,52781.527726432534,50452.930914972276,52684.502859288354,120874387,21.002219675718493,4142.105816805025,32.627052492925124
2024-12-09,54430.94921875,54819.04867842023,51617.22813614082,51908.30273089349,110963118,29.12244330544138,4048.0772893524636,36.4147130988829
2024-12-16,51423.1796875,54916.07491155661,50355.906146816036,54625.00030955189,96348143,30.39158707280859,4099.286436891274,35.92995904129075
2024-12-23,52102.3515625,52975.57533170391,51617.22724627561,51811.276972765365,46571598,32.11334838682187,3844.597357622538,37.41717310708799
2024-12-30,53141.421875,53825.226935891544,51090.00669232536,52066.87106502757,48573286,38.92050797234447,3733.6596462169023,34.56348177443575
2025-01-06,54020.59765625,56365.07205724458,53043.73332250226,53141.41975587703,103207887,37.0311578618886,3692.427555069444,45.84838284745641
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.795129189944,90392193,37.05853911530195,3528.3260654202745,50.06916279784292
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,42.51478757588855,3302.4858282334617,46.01566752270214
2025-01-27,51187.6953125,52457.61905116889,50503.89022244752,52457.61905116889,42186279,31.176550592884823,3167.610128282253,29.827614169181924
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,44.58085905545196,3182.983004536895,28.407060929163546
2025-02-10,54704.40625,55974.32996651786,51676.12661830357,51773.81305803572,125030539,59.28238847722174,3294.505038904634,43.21281235902946
2025-02-17,56853.50390625,57732.68180170748,54411.3430855348,54802.08881684923,103229672,59.15865086907721,3297.1884066314387,68.84932939144598
2025-02-24,53239.11328125,56462.766012041284,53239.11328125,55974.33378010321,89892797,59.3592256073784,3328.908628468295,69.69912423544126
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.26571179378148,3191.3906415525644,56.224927230358446
2025-03-10,53434.48046875,54606.71770023995,51285.3788776851,52262.24323726006,83613087,59.937815175502166,3204.385459652793,42.16870484302786
2025-03-17,60272.53515625,60272.53515625,54118.28926509319,54215.975707809965,168263990,63.20810364223489,3567.752382437514,60.64257599099608
2025-03-24,58807.23828125,60565.59424314784,58123.4331849564,59784.10270452658,84451498,72.65099316531209,3455.193250012907,76.9721768459092
2025-03-31,55127.68359375,58665.288958054814,54734.61633104947,58468.755326704544,88912712,70.9118559331259,3516.9361200316694,78.07530369161599
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.85673294426276,3538.6564275823976,58.813273227042295
2025-04-14,54341.55078125,56110.35351915687,53555.41623106917,55324.21896897604,53003689,64.21167419171076,3440.2845136329283,41.814455872528534
2025-04-21,54734.62109375,55422.48886333034,53751.95285149237,54243.28697262119,49386688,55.90192126915055,3263.309663453432,37.4379090068038
2025-04-28,53358.8828125,55520.75283436924,53260.61599332412,54832.88510013812,55105429,46.933043447371425,3162.992381212601,30.814364094652415
2025-05-05,53850.21875,54538.08650775547,53358.88463731752,53358.88463731752,41271845,49.735656227079005,2964.613512616888,29.049562984976507
2025-05-12,55815.5546875,57584.357476892605,54046.75189810739,54243.28554137324,68250680,57.58932312479641,3041.5660340444597,32.93213665085932
2025-05-19,53260.6171875,55717.287721978784,53162.35036612085,55422.48725784133,53178256,49.45080455350415,3002.7298627779287,30.44593595295774
2025-05-26,55225.94921875,56208.61735431494,52769.278879837635,52965.81250695062,81013633,42.33935653519228,3046.3907239478667,33.82806664995625
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.489488246886665,3105.3389314547294,47.08006875591036
2025-06-09,57289.55078125,59353.15381110634,56699.949915576755,59353.15381110634,86987247,53.281765586797256,3060.125427862215,66.11850480488103
2025-06-16,58468.7578125,59549.692830882355,55913.82049632353,56994.75551470588,103407109,70.18308843384631,3117.700118531876,81.5431273322905
2025-06-23,59746.22265625,60532.35716488487,56601.68462171053,57387.81913034539,100965975,72.50732377254806,3198.9973609961226,81.97712554162594
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069375445259,3363.5584852588718,87.1906534603675
2025-07-07,61892.34765625,62584.4346108726,59519.47809754393,62188.95635108826,88820970,76.69437161998236,3333.698288065852,86.32494530574677
2025-07-14,66341.4765625,67033.56350130403,61101.38974012668,61595.73755355812,118448922,83.58900248068053,3593.545835377002,88.08317713558705
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.94452519544058,3619.782576289227,85.93707377298053
2025-07-28,68121.1328125,73163.48081458635,66440.35014513788,67429.04583182148,148891490,90.8082962832612,4058.6477126189393,83.8753158348389
2025-08-04,70988.34375,71581.56110724233,67527.90916608635,68714.34388057103,78964731,90.9751689630122,4058.148135472644,81.45055184381614
2025-08-11,70790.6015625,71581.5580045391,69999.64512046089,71186.07978351956,51403773,91.04010031681078,3810.5246103332,83.13110310266892
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518716567688,3676.6460540180174,86.40510906177713
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.4467907575639,3526.4944888780524,81.89053861892296
2025-09-01,68714.34375,69604.16978417267,66736.95256294965,67626.7785971223,56700518,67.70921695429178,3460.5667621125494,75.91250957351978
2025-09-08,74547.65625,74745.39539124668,68813.22115384616,69010.96029509284,95075124,68.06082482105043,3717.6152500259627,80.44707638334158
2025-09-15,79392.2578125,79589.99693532067,75041.9971104452,76327.30140877957,94602422,78.2990163451177,3850.0877935554336,88.64720015413572
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358916351428,4048.409332889867,94.67225084686363
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068288171469,4345.54227233765,94.31150017578521
2025-10-06,93749.28125,93848.59192929025,89131.33466300317,89131.33466300317,35269748,77.72356483416823,4422.30426928291,94.54590551475489
2025-10-13,97225.1640625,98416.89232475741,89578.24104634832,90670.65862008427,131350523,80.12051951250177,4863.938970195528,97.83032285894524
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329453,93621703,81.67334418372866,4814.512070898647,97.50266304153091
2025-10-27,106758.984375,107851.40188953489,98416.88699127907,100601.72202034884,152466621,90.18151887121991,5306.305740262271,96.73909194234362
2025-11-03,97225.1640625,111625.21389811032,95636.1930461568,106163.12602943054,156967139,78.70292982930945,6374.577251431396,87.2997613545263
2025-11-10,96529.984375,105269.32452417696,96529.984375,97920.33394418724,113643449,72.8838342906294,6611.053541205953,76.66795616654296
2025-11-17,94146.5234375,102190.68841475474,93848.59140130537,99112.057374077,103334007,64.03530956634047,6784.157888430294,61.62766358522028
2025-11-24,99807.234375,104772.76842350747,95536.87509328358,97125.84598880597,99001482,64.89146659822023,7168.366598188012,59.79205211860403
2025-12-01,107652.78125,107652.78125,99211.37312615314,101296.89748616236,70939656,64.24748212031167,7295.670750753898,67.03602175894486
2025-12-08,108149.328125,109738.29896981175,106063.80389118457,108943.81354740587,78769475,64.14981408206485,6933.553183541226,77.81112474047764
2025-12-15,105567.25,108943.81302916275,101992.06561618063,104574.14322671684,108107073,56.575457107834495,6935.372606485315,81.18081486558457
2025-12-22,116193.5,116193.5,108546.57735042735,108943.82008547008,91789471,55.763130944777494,7304.460345836784,85.68996123744864
2025-12-29,127614.2265625,127614.2265625,117385.22630107004,118576.9544868677,69885632,55.58627866412754,7716.086967503106,90.84082285152031
2026-01-05,138712.890625,144201.53018210432,132425.90349595324,134321.97897931654,205472025,60.14932184003546,8603.208632713227,96.36655463745755
2026-01-12,148592.4375,149191.1981615178,136517.43082605777,140708.75545668235,121801572,73.57218777632163,9010.264502987908,96.00591588396088
2026-01-19,151785.828125,156675.7068745891,141507.103406476,146895.9493754109,136006446,83.88965735006599,9626.098399500426,93.41155901922549
2026-01-26,160168.484375,166255.8847157321,148891.82472741435,154580.05127531153,156086280,92.2713661588897,10399.894558382159,94.17571441610845
2026-02-02,158272.40625,169050.09847887768,150089.34363177806,155378.39629965322,181014533,93.14889935486961,11255.980587253907,89.3922671941694
2026-02-09,180825.71875,184019.10892660043,161665.37769039735,168251.74492963575,142978982,93.8058392973266,12705.05279618856,90.68892594711035
2026-02-16,189707.34375,190505.69133022093,180825.72692004207,180825.72692004207,51263268,93.84199390875534,12402.544774591797,93.25756631455613
2026-02-23,216052.8125,222539.3865473441,190106.51631062356,193998.46073903,163283828,100.0,14445.494576867028,96.50487356829228
2026-03-02,187811.265625,212061.07303566684,171544.93390508767,209067.2696516339,227788743,81.99556634207852,17451.732978671556,86.79393418981851
2026-03-09,183120.96875,194397.6278610354,166954.43090940054,173141.62440395096,140914630,73.25768922259977,18450.87937596789,72.5135553401346
2026-03-16,198988.125,208568.2955115346,183220.7610330993,184218.69546138417,120360709,72.7564193727037,19150.52411452456,65.28426798956657
2026-03-23,179728.0,195994.3320377568,171644.73070516382,190106.51860077734,139936088,63.799604110305886,19969.811132555722,58.68206986060389
2026-03-30,185815.390625,193200.10539742213,166655.0495938507,170646.78730867346,152128669,54.467403438189564,20627.33559965729,56.64159493267342
2026-04-06,206000.0,214500.0,190100.0,190900.0,147940282,55.36258377904218,21433.062977191563,58.15810188357548
2026-04-13,216000.0,218000.0,198200.0,198200.0,106947487,54.31618781853539,21269.756679472408,72.18810627990489
2026-04-20,219500.0,229500.0,213000.0,214500.0,104835504,53.97894824965406,20792.781011525167,83.50555052004916
2026-04-27,220500.0,230000.0,218500.0,220000.0,83840595,55.50584563446935,19863.502910372652,86.11602661054492
2026-05-04,268500.0,277000.0,224000.0,228000.0,153299379,56.31764024973936,23527.152619335386,87.12915235811238
